iter	Passed	Remaining
418	61627	85454
419	61776	85310
420	61927	85168
421	62071	85017
422	62230	84887
423	62380	84742
424	62529	84599
425	62683	84460
426	62828	84310
427	62976	84165
428	63132	84029
429	63261	83858
430	63404	83705
431	63542	83546
432	63700	83413
433	63855	83277
434	64001	83127
435	64154	82988
436	64295	82833
437	64438	82681
438	64589	82538
439	64735	82391
440	64879	82239
441	65016	82079
442	65163	81932
443	65308	81782
444	65454	81633
445	65589	81471
446	65717	81301
447	65853	81140
448	66003	80997
449	66150	80850
450	66304	80712
451	66456	80571
452	66586	80403
453	66727	80249
454	66873	80101
455	67031	79967
456	67182	79825
457	67329	79678
458	67469	79522
459	67623	79384
460	67762	79227
461	67911	79083
462	68020	78892
463	68165	78742
464	68303	78586
465	68429	78415
466	68587	78280
467	68743	78144
468	68884	77990
469	69036	77849
470	69193	77714
471	69362	77592
472	69517	77453
473	69672	77316
474	69824	77174
475	69967	77022
476	70114	76876
477	70278	76747
478	70432	76608
479	70579	76461
480	70712	76298
481	70851	76143
482	71004	76003
483	71165	75870
484	71311	75722
485	71460	75577
486	71613	75436
487	71759	75288
488	71902	75137
489	72045	74985
490	72202	74849
491	72340	74693
492	72472	74530
493	72615	74379
494	72768	74238
495	72920	74096
496	73081	73963
497	73232	73820
498	73375	73669
499	73520	73520
500	73671	73376
501	73841	73253
502	73997	73114
503	74155	72978
504	74305	72834
505	74462	72697
506	74615	72555
507	74766	72412
508	74916	72266
509	75057	72114
510	75202	71964
511	75349	71817
512	75485	71659
513	75634	71514
514	75767	71353
515	75922	71213
516	76070	71068
517	76216	70919
518	76349	70759
519	76508	70623
520	76656	70476
521	76828	70352
522	77008	70234
523	77165	70097
524	77338	69972
525	77511	69848
526	77697	69736
527	77884	69623
528	78056	69498
529	78217	69362
530	78392	69239
531	78561	69110
532	78732	68983
533	78911	68862
534	79082	68735
535	79262	68615
536	79416	68472
537	79584	68342
538	79744	68204
539	79901	68064
540	80048	67915
541	80196	67767
542	80338	67614
543	80505	67482
544	80675	67352
545	80838	67217
546	81008	67087
547	81191	66968
548	81377	66851
549	81548	66721
550	81719	66592
551	81866	66442
552	82016	66295
553	82169	66151
554	82325	66008
555	82482	65867
556	82637	65724
557	82783	65573
558	82936	65429
559	83095	65289
560	83229	65129
561	83413	65008
562	83567	64864
563	83720	64720
564	83944	64629
565	84091	64480
566	84254	64342
567	84397	64189
568	84572	64061
569	84725	63915
570	84878	63770
571	85038	63630
572	85183	63478
573	85340	63336
574	85504	63199
575	85664	63058
576	85817	62912
577	85978	62773
578	86120	62619
579	86269	62471
580	86415	62320
581	86566	62172
582	86708	62019
583	86863	61875
584	87017	61730
585	87173	61587
586	87339	61450
587	87485	61299
588	87641	61155
589	87788	61005
590	87946	60863
591	88093	60713
592	88239	60562
593	88396	60419
594	88560	60280
595	88708	60131
596	88859	59983
597	89005	59833
598	89174	59697
599	89321	59547
600	89481	59406
601	89642	59265
602	89799	59121
603	89951	58975
604	90107	58830
605	90280	58697
606	90451	58562
607	90634	58435
608	90781	58285
609	90945	58145
610	91084	57990
611	91236	57842
612	91373	57685
613	91515	57532
614	91669	57386
615	91810	57232
616	91953	57079
617	92104	56931
618	92249	56780
619	92388	56625
620	92523	56467
621	92669	56316
622	92829	56174
623	92981	56027
624	93131	55879
625	93301	55742
626	93464	55601
627	93613	55452
628	93753	55298
629	93906	55151
630	94075	55013
631	94230	54868
632	94386	54723
633	94556	54586
634	94713	54441
635	94873	54298
636	95038	54158
637	95210	54022
638	95361	53873
639	95510	53724
640	95674	53583
641	95825	53435
642	95992	53295
643	96151	53151
644	96308	53006
645	96468	52863
646	96618	52714
647	96767	52565
648	96895	52404
649	97056	52261
650	97226	52122
651	97388	51980
652	97546	51835
653	97707	51692
654	97865	51547
655	98009	51395
656	98161	51247
657	98321	51103
658	98473	50955
659	98630	50809
660	98789	50665
661	98935	50513
662	99095	50369
663	99255	50225
664	99425	50086
665	99576	49937
666	99741	49796
667	99894	49648
668	100038	49495
669	100205	49355
670	100363	49209
671	100510	49058
672	100670	48914
673	100840	48774
674	100989	48624
675	101149	48479
676	101300	48330
677	101461	48186
678	101617	48040
679	101777	47895
680	101932	47748
681	102074	47594
682	102226	47446
683	102369	47293
684	102521	47144
685	102657	46989
686	102796	46834
687	102939	46682
688	103061	46519
689	103204	46367
690	103344	46213
691	103492	46063
692	103662	45922
693	103807	45771
694	103971	45627
695	104117	45476
696	104274	45330
697	104422	45180
698	104587	45037
699	104749	44892
700	104914	44749
701	105070	44602
702	105246	44464
703	105404	44317
704	105548	44165
705	105710	44020
706	105871	43876
707	106020	43726
708	106170	43576
709	106331	43431
710	106479	43280
711	106630	43131
712	106798	42989
713	106958	42843
714	107119	42698
715	107270	42548
716	107441	42407
717	107594	42258
718	107746	42109
719	107898	41960
720	108047	41810
721	108193	41658
722	108354	41513
723	108523	41370
724	108690	41227
725	108848	41080
726	108991	40928
727	109138	40777
728	109284	40625
729	109438	40477
730	109577	40323
731	109722	40171
732	109868	40020
733	110013	39868
734	110151	39714
735	110288	39559
736	110437	39409
737	110582	39258
738	110737	39110
739	110888	38960
740	111039	38811
741	111197	38664
742	111354	38517
743	111531	38376
744	111703	38233
745	111881	38093
746	112041	37947
747	112191	37797
748	112335	37645
749	112507	37502
750	112674	37358
751	112834	37211
752	112980	37060
753	113121	36906
754	113271	36756
755	113456	36618
756	113612	36470
757	113779	36325
758	113946	36180
759	114130	36041
760	114302	35897
761	114467	35752
762	114645	35610
763	114810	35464
764	114975	35319
765	115146	35175
766	115314	35030
767	115474	34882
768	115627	34733
769	115794	34588
770	115938	34435
771	116109	34291
772	116263	34141
773	116414	33991
774	116564	33841
775	116715	33691
776	116873	33542
777	117025	33392
778	117171	33241
779	117321	33090
780	117475	32941
781	117635	32793
782	117802	32647
783	117968	32501
784	118132	32354
785	118294	32207
786	118460	32061
787	118611	31910
788	118776	31763
789	118912	31609
790	119053	31456
791	119180	31299
792	119324	31147
793	119464	30994
794	119596	30839
795	119739	30687
796	119887	30536
797	120039	30385
798	120197	30237
799	120346	30086
800	120486	29933
801	120630	29781
802	120809	29638
803	120958	29487
804	121111	29337
805	121274	29190
806	121457	29047
807	121615	28898
808	121779	28751
809	121933	28601
810	122092	28453
811	122251	28304
812	122388	28150
813	122543	28001
814	122698	27851
815	122863	27704
816	123028	27557
817	123180	27406
818	123357	27262
819	123529	27116
820	123691	26967
821	123870	26823
822	124030	26674
823	124191	26526
824	124358	26379
825	124528	26232
826	124693	26084
827	124863	25937
828	125024	25789
829	125174	25638
830	125350	25492
831	125510	25343
832	125691	25198
833	125839	25047
834	125990	24896
835	126172	24751
836	126320	24600
837	126468	24448
838	126643	24302
839	126798	24152
840	126961	24003
841	127107	23851
842	127274	23703
843	127432	23553
844	127600	23406
845	127749	23254
846	127913	23105
847	128090	22959
848	128253	22810
849	128425	22663
850	128585	22513
851	128766	22367
852	128943	22221
853	129093	22069
854	129249	21919
855	129419	21771
856	129581	21622
857	129755	21474
858	129917	21325
859	130087	21176
860	130244	21026
861	130426	20880
862	130589	20730
863	130753	20581
864	130938	20435
865	131084	20283
866	131246	20133
867	131397	19982
868	131582	19835
869	131742	19685
870	131913	19537
871	132076	19387
872	132232	19236
873	132414	19089
874	132567	18938
875	132719	18786
876	132909	18640
877	133075	18491
878	133244	18342
879	133424	18194
880	133591	18044
881	133746	17893
882	133902	17742
883	134069	17592
884	134229	17442
885	134391	17291
886	134554	17141
887	134708	16990
888	134872	16840
889	135034	16689
890	135193	16538
891	135345	16387
892	135484	16233
893	135627	16081
894	135779	15929
895	135933	15778
896	136073	15624
897	136216	15472
898	136365	15320
899	136514	15168
900	136645	15014
901	136790	14861
902	136950	14711
903	137121	14561
904	137272	14409
905	137414	14257
906	137567	14105
907	137725	13954
908	137883	13803
909	138044	13652
910	138206	13502
911	138356	13350
912	138517	13199
913	138663	13047
914	138823	12896
915	138984	12745
916	139140	12593
917	139315	12444
918	139476	12293
919	139637	12142
920	139804	11991
921	139954	11839
922	140108	11688
923	140259	11536
924	140411	11384
925	140578	11234
926	140726	11082
927	140898	10931
928	141054	10780
929	141194	10627
930	141350	10476
931	141492	10323
932	141665	10173
933	141826	10021
934	141990	9870
935	142136	9718
936	142295	9567
937	142471	9417
938	142626	9265
939	142795	9114
940	142963	8963
941	143105	8811
942	143265	8659
943	143430	8508
944	143592	8357
945	143731	8204
946	143890	8053
947	144029	7900
948	144207	7749
949	144371	7598
950	144527	7446
951	144679	7294
952	144822	7142
953	144962	6989
954	145102	6837
955	145244	6684
956	145387	6532
957	145529	6380
958	145679	6228
959	145838	6076
960	145997	5924
961	146148	5773
962	146293	5620
963	146447	5468
964	146610	5317
965	146787	5166
966	146946	5014
967	147114	4863
968	147270	4711
969	147403	4558
970	147578	4407
971	147737	4255
972	147901	4104
973	148070	3952
974	148223	3800
975	148365	3648
976	148506	3496
977	148653	3343
978	148797	3191
979	148952	3039
980	149116	2888
981	149276	2736
982	149441	2584
983	149613	2432
984	149791	2281
985	149968	2129
986	150117	1977
987	150287	1825
988	150475	1673
989	150632	1521
990	150794	1369
991	150974	1217
992	151124	1065
993	151266	913
994	151437	760
995	151601	608
996	151759	456
997	151900	304
998	152048	152
999	152183	0
